"StateFIPS","State","Year","Value","Data Comment","Number of CWS",,"Concentration"
"04","Arizona","2006","87%","","519",,"Concentration: (0-<=10)"
"04","Arizona","2006","1%","","7",,"Concentration: (>10)"
"04","Arizona","2006","12%","","74",,"Concentration: (not-detected)"
"04","Arizona","2007","81%","","549",,"Concentration: (0-<=10)"
"04","Arizona","2007","2%","","14",,"Concentration: (>10)"
"04","Arizona","2007","17%","","117",,"Concentration: (not-detected)"
"04","Arizona","2008","88%","","607",,"Concentration: (0-<=10)"
"04","Arizona","2008","2%","","14",,"Concentration: (>10)"
"04","Arizona","2008","10%","","69",,"Concentration: (not-detected)"
"04","Arizona","2009","88%","","609",,"Concentration: (0-<=10)"
"04","Arizona","2009","2%","","17",,"Concentration: (>10)"
"04","Arizona","2009","9%","","64",,"Concentration: (not-detected)"
"04","Arizona","2010","90%","","625",,"Concentration: (0-<=10)"
"04","Arizona","2010","2%","","14",,"Concentration: (>10)"
"04","Arizona","2010","8%","","58",,"Concentration: (not-detected)"
"04","Arizona","2011","87%","","608",,"Concentration: (0-<=10)"
"04","Arizona","2011","3%","","18",,"Concentration: (>10)"
"04","Arizona","2011","11%","","75",,"Concentration: (not-detected)"
"04","Arizona","2012","87%","","617",,"Concentration: (0-<=10)"
"04","Arizona","2012","2%","","15",,"Concentration: (>10)"
"04","Arizona","2012","11%","","75",,"Concentration: (not-detected)"
"04","Arizona","2013","88%","","623",,"Concentration: (0-<=10)"
"04","Arizona","2013","3%","","18",,"Concentration: (>10)"
"04","Arizona","2013","9%","","66",,"Concentration: (not-detected)"
"04","Arizona","2014","90%","","629",,"Concentration: (0-<=10)"
"04","Arizona","2014","2%","","13",,"Concentration: (>10)"
"04","Arizona","2014","9%","","60",,"Concentration: (not-detected)"
"04","Arizona","2015","89%","","624",,"Concentration: (0-<=10)"
"04","Arizona","2015","3%","","18",,"Concentration: (>10)"
"04","Arizona","2015","9%","","61",,"Concentration: (not-detected)"
"04","Arizona","2016","90%","","629",,"Concentration: (0-<=10)"
"04","Arizona","2016","3%","","18",,"Concentration: (>10)"
"04","Arizona","2016","8%","","54",,"Concentration: (not-detected)"
"04","Arizona","2017","89%","","633",,"Concentration: (0-<=10)"
"04","Arizona","2017","2%","","13",,"Concentration: (>10)"
"04","Arizona","2017","9%","","62",,"Concentration: (not-detected)"
"04","Arizona","2018","90%","","638",,"Concentration: (0-<=10)"
"04","Arizona","2018","1%","","10",,"Concentration: (>10)"
"04","Arizona","2018","8%","","58",,"Concentration: (not-detected)"
"04","Arizona","2019","90%","","631",,"Concentration: (0-<=10)"
"04","Arizona","2019","2%","","11",,"Concentration: (>10)"
"04","Arizona","2019","9%","","63",,"Concentration: (not-detected)"
"04","Arizona","2020","89%","","628",,"Concentration: (0-<=10)"
"04","Arizona","2020","2%","","12",,"Concentration: (>10)"
"04","Arizona","2020","9%","","63",,"Concentration: (not-detected)"
"04","Arizona","2021","91%","","636",,"Concentration: (0-<=10)"
"04","Arizona","2021","2%","","11",,"Concentration: (>10)"
"04","Arizona","2021","8%","","55",,"Concentration: (not-detected)"
"04","Arizona","2022","91%","","643",,"Concentration: (0-<=10)"
"04","Arizona","2022","2%","","14",,"Concentration: (>10)"
"04","Arizona","2022","7%","","47",,"Concentration: (not-detected)"
"04","Arizona","2023","92%","","654",,"Concentration: (0-<=10)"
"04","Arizona","2023","2%","","14",,"Concentration: (>10)"
"04","Arizona","2023","6%","","42",,"Concentration: (not-detected)"
"06","California","1999","69%","","786",,"Concentration: (0-<=10)"
"06","California","1999","3%","","31",,"Concentration: (>10)"
"06","California","1999","28%","","315",,"Concentration: (not-detected)"
"06","California","2000","67%","","818",,"Concentration: (0-<=10)"
"06","California","2000","2%","","29",,"Concentration: (>10)"
"06","California","2000","31%","","380",,"Concentration: (not-detected)"
"06","California","2001","70%","","953",,"Concentration: (0-<=10)"
"06","California","2001","3%","","36",,"Concentration: (>10)"
"06","California","2001","28%","","379",,"Concentration: (not-detected)"
"06","California","2002","67%","","1,100",,"Concentration: (0-<=10)"
"06","California","2002","3%","","52",,"Concentration: (>10)"
"06","California","2002","30%","","483",,"Concentration: (not-detected)"
"06","California","2003","67%","","1,194",,"Concentration: (0-<=10)"
"06","California","2003","3%","","60",,"Concentration: (>10)"
"06","California","2003","29%","","519",,"Concentration: (not-detected)"
"06","California","2004","68%","","1,232",,"Concentration: (0-<=10)"
"06","California","2004","3%","","47",,"Concentration: (>10)"
"06","California","2004","30%","","544",,"Concentration: (not-detected)"
"06","California","2005","66%","","1,232",,"Concentration: (0-<=10)"
"06","California","2005","4%","","66",,"Concentration: (>10)"
"06","California","2005","30%","","563",,"Concentration: (not-detected)"
"06","California","2006","67%","","1,271",,"Concentration: (0-<=10)"
"06","California","2006","4%","","71",,"Concentration: (>10)"
"06","California","2006","29%","","542",,"Concentration: (not-detected)"
"06","California","2007","65%","","1,273",,"Concentration: (0-<=10)"
"06","California","2007","4%","","78",,"Concentration: (>10)"
"06","California","2007","31%","","607",,"Concentration: (not-detected)"
"06","California","2008","69%","","1,386",,"Concentration: (0-<=10)"
"06","California","2008","4%","","83",,"Concentration: (>10)"
"06","California","2008","27%","","544",,"Concentration: (not-detected)"
"06","California","2009","66%","","1,365",,"Concentration: (0-<=10)"
"06","California","2009","5%","","96",,"Concentration: (>10)"
"06","California","2009","29%","","609",,"Concentration: (not-detected)"
"06","California","2010","67%","","1,439",,"Concentration: (0-<=10)"
"06","California","2010","4%","","87",,"Concentration: (>10)"
"06","California","2010","29%","","610",,"Concentration: (not-detected)"
"06","California","2011","69%","","1,470",,"Concentration: (0-<=10)"
"06","California","2011","4%","","77",,"Concentration: (>10)"
"06","California","2011","28%","","598",,"Concentration: (not-detected)"
"06","California","2012","68%","","1,437",,"Concentration: (0-<=10)"
"06","California","2012","4%","","87",,"Concentration: (>10)"
"06","California","2012","28%","","587",,"Concentration: (not-detected)"
"06","California","2013","64%","","1,003",,"Concentration: (0-<=10)"
"06","California","2013","4%","","61",,"Concentration: (>10)"
"06","California","2013","32%","","506",,"Concentration: (not-detected)"
"06","California","2014","66%","","1,043",,"Concentration: (0-<=10)"
"06","California","2014","4%","","60",,"Concentration: (>10)"
"06","California","2014","30%","","477",,"Concentration: (not-detected)"
"06","California","2015","66%","","916",,"Concentration: (0-<=10)"
"06","California","2015","4%","","54",,"Concentration: (>10)"
"06","California","2015","30%","","416",,"Concentration: (not-detected)"
"06","California","2016","64%","","1,053",,"Concentration: (0-<=10)"
"06","California","2016","4%","","70",,"Concentration: (>10)"
"06","California","2016","32%","","528",,"Concentration: (not-detected)"
"06","California","2017","65%","","997",,"Concentration: (0-<=10)"
"06","California","2017","4%","","62",,"Concentration: (>10)"
"06","California","2017","31%","","482",,"Concentration: (not-detected)"
"06","California","2018","47%","","778",,"Concentration: (0-<=10)"
"06","California","2018","4%","","67",,"Concentration: (>10)"
"06","California","2018","49%","","798",,"Concentration: (not-detected)"
"06","California","2019","49%","","791",,"Concentration: (0-<=10)"
"06","California","2019","4%","","60",,"Concentration: (>10)"
"06","California","2019","47%","","768",,"Concentration: (not-detected)"
