"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2010","47.4%","",
"01","Alabama","2015","49.3%","",
"01","Alabama","2020","43.2%","",
"02","Alaska","2010","44.7%","",
"02","Alaska","2015","42.4%","",
"02","Alaska","2020","30.4%","",
"04","Arizona","2010","41.9%","",
"04","Arizona","2015","46.4%","",
"04","Arizona","2020","26.7%","",
"05","Arkansas","2010","57.1%","",
"05","Arkansas","2015","47.1%","",
"05","Arkansas","2020","35.3%","",
"06","California","2010","50.4%","",
"06","California","2015","44.7%","",
"06","California","2020","32.5%","",
"08","Colorado","2010","49.7%","",
"08","Colorado","2015","44.3%","",
"08","Colorado","2020","31.8%","",
"09","Connecticut","2010","50.0%","",
"09","Connecticut","2015","43.7%","",
"09","Connecticut","2020","45.7%","",
"10","Delaware","2010","42.9%","",
"10","Delaware","2015","53.3%","",
"10","Delaware","2020","50.0%","",
"11","District of Columbia","2010","36.8%","",
"11","District of Columbia","2015","38.2%","",
"11","District of Columbia","2020","47.8%","",
"12","Florida","2010","44.0%","",
"12","Florida","2015","51.3%","",
"12","Florida","2020","32.5%","",
"13","Georgia","2010","47.2%","",
"13","Georgia","2015","52.4%","",
"13","Georgia","2020","47.2%","",
"15","Hawaii","2010","75.9%","",
"15","Hawaii","2015","57.9%","",
"15","Hawaii","2020","64.6%","",
"16","Idaho","2010","38.6%","",
"16","Idaho","2015","32.1%","",
"16","Idaho","2020","29.0%","",
"17","Illinois","2010","48.1%","",
"17","Illinois","2015","53.8%","",
"17","Illinois","2020","33.4%","",
"18","Indiana","2010","53.9%","",
"18","Indiana","2015","48.3%","",
"18","Indiana","2020","42.1%","",
"19","Iowa","2010","46.7%","",
"19","Iowa","2015","52.3%","",
"19","Iowa","2020","38.0%","",
"20","Kansas","2010","45.3%","",
"20","Kansas","2015","41.2%","",
"20","Kansas","2020","31.6%","",
"21","Kentucky","2010","50.6%","",
"21","Kentucky","2015","51.7%","",
"21","Kentucky","2020","33.8%","",
"22","Louisiana","2010","47.5%","",
"22","Louisiana","2015","53.3%","",
"22","Louisiana","2020","42.3%","",
"23","Maine","2010","62.3%","",
"23","Maine","2015","55.9%","",
"23","Maine","2020","39.0%","",
"24","Maryland","2010","52.7%","",
"24","Maryland","2015","49.4%","",
"24","Maryland","2020","43.5%","",
"25","Massachusetts","2010","47.9%","",
"25","Massachusetts","2015","58.8%","",
"25","Massachusetts","2020","40.9%","",
"26","Michigan","2010","47.1%","",
"26","Michigan","2015","49.0%","",
"26","Michigan","2020","35.5%","",
"27","Minnesota","2010","46.0%","",
"27","Minnesota","2015","42.1%","",
"27","Minnesota","2020","23.3%","",
"28","Mississippi","2010","52.2%","",
"28","Mississippi","2015","47.0%","",
"28","Mississippi","2020","35.6%","",
"29","Missouri","2010","51.1%","",
"29","Missouri","2015","48.6%","",
"29","Missouri","2020","30.8%","",
"30","Montana","2010","36.1%","",
"30","Montana","2015","35.9%","",
"30","Montana","2020","19.7%","",
"31","Nebraska","2010","31.9%","",
"31","Nebraska","2015","39.4%","",
"31","Nebraska","2020","28.1%","",
"32","Nevada","2010","37.2%","",
"32","Nevada","2015","45.8%","",
"32","Nevada","2020","33.8%","",
"33","New Hampshire","2010","56.4%","",
"33","New Hampshire","2015","49.4%","",
"33","New Hampshire","2020","37.0%","",
"34","New Jersey","2010","51.0%","",
"34","New Jersey","2015","52.7%","",
"34","New Jersey","2020","48.4%","",
"35","New Mexico","2010","46.3%","",
"35","New Mexico","2015","42.1%","",
"35","New Mexico","2020","25.2%","",
"36","New York","2010","70.4%","",
"36","New York","2015","67.4%","",
"36","New York","2020","36.6%","",
"37","North Carolina","2010","46.4%","",
"37","North Carolina","2015","51.5%","",
"37","North Carolina","2020","44.2%","",
"38","North Dakota","2010","36.2%","",
"38","North Dakota","2015","35.3%","",
"38","North Dakota","2020","22.1%","",
"39","Ohio","2010","53.5%","",
"39","Ohio","2015","57.0%","",
"39","Ohio","2020","40.0%","",
"40","Oklahoma","2010","52.4%","",
"40","Oklahoma","2015","45.2%","",
"40","Oklahoma","2020","28.7%","",
"41","Oregon","2010","45.8%","",
"41","Oregon","2015","43.4%","",
"41","Oregon","2020","39.4%","",
"42","Pennsylvania","2010","60.6%","",
"42","Pennsylvania","2015","60.0%","",
"42","Pennsylvania","2020","51.6%","",
"44","Rhode Island","2010","77.8%","",
"44","Rhode Island","2015","60.0%","",
"44","Rhode Island","2020","46.4%","",
"45","South Carolina","2010","50.0%","",
"45","South Carolina","2015","55.8%","",
"45","South Carolina","2020","44.4%","",
"46","South Dakota","2010","46.7%","",
"46","South Dakota","2015","44.0%","",
"46","South Dakota","2020","23.3%","",
"47","Tennessee","2010","58.3%","",
"47","Tennessee","2015","53.6%","",
"47","Tennessee","2020","40.8%","",
"48","Texas","2010","44.3%","",
"48","Texas","2015","42.9%","",
"48","Texas","2020","31.4%","",
"49","Utah","2010","43.0%","",
"49","Utah","2015","41.2%","",
"49","Utah","2020","32.7%","",
"50","Vermont","2010","56.4%","",
"50","Vermont","2015","52.5%","",
"50","Vermont","2020","42.9%","",
"51","Virginia","2010","55.7%","",
"51","Virginia","2015","49.3%","",
"51","Virginia","2020","43.6%","",
"53","Washington","2010","43.6%","",
"53","Washington","2015","51.7%","",
"53","Washington","2020","30.1%","",
"54","West Virginia","2010","54.6%","",
"54","West Virginia","2015","52.0%","",
"54","West Virginia","2020","38.4%","",
"55","Wisconsin","2010","57.6%","",
"55","Wisconsin","2015","50.9%","",
"55","Wisconsin","2020","38.4%","",
"56","Wyoming","2010","30.7%","",
"56","Wyoming","2015","39.1%","",
"56","Wyoming","2020","22.3%","",
