"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2010","3.2%","",
"01","Alabama","2015","5.2%","",
"01","Alabama","2020","5.5%","",
"02","Alaska","2010","3.5%","",
"02","Alaska","2015","3.4%","",
"02","Alaska","2020","3.7%","",
"04","Arizona","2010","3.4%","",
"04","Arizona","2015","3.3%","",
"04","Arizona","2020","3.9%","",
"05","Arkansas","2010","2.7%","",
"05","Arkansas","2015","4.3%","",
"05","Arkansas","2020","4.5%","",
"06","California","2010","5.9%","",
"06","California","2015","5.7%","",
"06","California","2020","5.8%","",
"08","Colorado","2010","3.3%","",
"08","Colorado","2015","5.4%","",
"08","Colorado","2020","5.6%","",
"09","Connecticut","2010","5.8%","",
"09","Connecticut","2015","7.5%","",
"09","Connecticut","2020","8.0%","",
"10","Delaware","2010","4.6%","",
"10","Delaware","2015","6.1%","",
"10","Delaware","2020","6.7%","",
"11","District of Columbia","2010","5.3%","",
"11","District of Columbia","2015","11.8%","",
"11","District of Columbia","2020","12.2%","",
"12","Florida","2010","3.9%","",
"12","Florida","2015","6.8%","",
"12","Florida","2020","6.8%","",
"13","Georgia","2010","3.1%","",
"13","Georgia","2015","5.3%","",
"13","Georgia","2020","5.5%","",
"15","Hawaii","2010","5.6%","",
"15","Hawaii","2015","5.4%","",
"15","Hawaii","2020","7.5%","",
"16","Idaho","2010","2.5%","",
"16","Idaho","2015","3.7%","",
"16","Idaho","2020","3.7%","",
"17","Illinois","2010","2.9%","",
"17","Illinois","2015","5.8%","",
"17","Illinois","2020","5.8%","",
"18","Indiana","2010","2.9%","",
"18","Indiana","2015","5.2%","",
"18","Indiana","2020","5.3%","",
"19","Iowa","2010","3.2%","",
"19","Iowa","2015","5.4%","",
"19","Iowa","2020","5.5%","",
"20","Kansas","2010","3.8%","",
"20","Kansas","2015","6.2%","",
"20","Kansas","2020","6.7%","",
"21","Kentucky","2010","3.3%","",
"21","Kentucky","2015","7.5%","",
"21","Kentucky","2020","7.7%","",
"22","Louisiana","2010","2.6%","",
"22","Louisiana","2015","5.5%","",
"22","Louisiana","2020","5.7%","",
"23","Maine","2010","2.2%","",
"23","Maine","2015","5.3%","",
"23","Maine","2020","5.6%","",
"24","Maryland","2010","4.3%","",
"24","Maryland","2015","6.5%","",
"24","Maryland","2020","8.7%","",
"25","Massachusetts","2010","4.2%","",
"25","Massachusetts","2015","6.1%","",
"25","Massachusetts","2020","6.3%","",
"26","Michigan","2010","4.0%","",
"26","Michigan","2015","4.1%","",
"26","Michigan","2020","4.1%","",
"27","Minnesota","2010","4.7%","",
"27","Minnesota","2015","5.7%","",
"27","Minnesota","2020","5.8%","",
"28","Mississippi","2010","2.4%","",
"28","Mississippi","2015","4.3%","",
"28","Mississippi","2020","4.5%","",
"29","Missouri","2010","3.5%","",
"29","Missouri","2015","5.3%","",
"29","Missouri","2020","5.7%","",
"30","Montana","2010","3.9%","",
"30","Montana","2015","4.3%","",
"30","Montana","2020","4.6%","",
"31","Nebraska","2010","2.9%","",
"31","Nebraska","2015","5.6%","",
"31","Nebraska","2020","5.9%","",
"32","Nevada","2010","3.6%","",
"32","Nevada","2015","4.9%","",
"32","Nevada","2020","4.9%","",
"33","New Hampshire","2010","3.6%","",
"33","New Hampshire","2015","4.9%","",
"33","New Hampshire","2020","5.5%","",
"34","New Jersey","2010","4.8%","",
"34","New Jersey","2015","7.8%","",
"34","New Jersey","2020","7.8%","",
"35","New Mexico","2010","3.5%","",
"35","New Mexico","2015","4.5%","",
"35","New Mexico","2020","4.8%","",
"36","New York","2010","6.8%","",
"36","New York","2015","9.3%","",
"36","New York","2020","9.4%","",
"37","North Carolina","2010","2.9%","",
"37","North Carolina","2015","5.4%","",
"37","North Carolina","2020","5.7%","",
"38","North Dakota","2010","4.0%","",
"38","North Dakota","2015","4.8%","",
"38","North Dakota","2020","4.8%","",
"39","Ohio","2010","3.8%","",
"39","Ohio","2015","6.9%","",
"39","Ohio","2020","7.2%","",
"40","Oklahoma","2010","3.4%","",
"40","Oklahoma","2015","4.9%","",
"40","Oklahoma","2020","5.2%","",
"41","Oregon","2010","4.8%","",
"41","Oregon","2015","4.8%","",
"41","Oregon","2020","5.7%","",
"42","Pennsylvania","2010","3.2%","",
"42","Pennsylvania","2015","5.8%","",
"42","Pennsylvania","2020","5.8%","",
"44","Rhode Island","2010","5.0%","",
"44","Rhode Island","2015","10.3%","",
"44","Rhode Island","2020","11.0%","",
"45","South Carolina","2010","2.5%","",
"45","South Carolina","2015","6.0%","",
