"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2011","24.8%","",
"01","Alabama","2012","24.3%","",
"01","Alabama","2013","21.9%","",
"01","Alabama","2014","21.7%","",
"01","Alabama","2015","22.1%","",
"01","Alabama","2016","22.3%","",
"01","Alabama","2017","21.7%","",
"01","Alabama","2018","19.8%","",
"01","Alabama","2019","21.1%","",
"01","Alabama","2020","19.1%","",
"01","Alabama","2021","17.5%","",
"02","Alaska","2011","22.3%","",
"02","Alaska","2012","20.1%","",
"02","Alaska","2013","22.0%","",
"02","Alaska","2014","19.5%","",
"02","Alaska","2015","18.8%","",
"02","Alaska","2016","18.8%","",
"02","Alaska","2017","20.8%","",
"02","Alaska","2018","19.0%","",
"02","Alaska","2019","17.5%","",
"02","Alaska","2020","18.1%","",
"02","Alaska","2021","17.2%","",
"04","Arizona","2011","19.5%","",
"04","Arizona","2012","17.3%","",
"04","Arizona","2013","16.4%","",
"04","Arizona","2014","16.9%","",
"04","Arizona","2015","14.3%","",
"04","Arizona","2016","15.0%","",
"04","Arizona","2017","15.9%","",
"04","Arizona","2018","14.4%","",
"04","Arizona","2019","15.4%","",
"04","Arizona","2020","13.5%","",
"04","Arizona","2021","13.4%","",
"05","Arkansas","2011","27.5%","",
"05","Arkansas","2012","25.7%","",
"05","Arkansas","2013","26.7%","",
"05","Arkansas","2014","25.4%","",
"05","Arkansas","2015","26.0%","",
"05","Arkansas","2016","24.5%","",
"05","Arkansas","2017","23.3%","",
"05","Arkansas","2018","23.7%","",
"05","Arkansas","2019","20.9%","",
"05","Arkansas","2020","21.1%","",
"05","Arkansas","2021","21.5%","",
"06","California","2011","13.6%","",
"06","California","2012","12.5%","",
"06","California","2013","12.5%","",
"06","California","2014","12.8%","",
"06","California","2015","11.7%","",
"06","California","2016","11.0%","",
"06","California","2017","11.5%","",
"06","California","2018","11.4%","",
"06","California","2019","10.1%","",
"06","California","2020","9.0%","",
"06","California","2021","8.8%","",
"08","Colorado","2011","18.2%","",
"08","Colorado","2012","17.7%","",
"08","Colorado","2013","17.7%","",
"08","Colorado","2014","15.9%","",
"08","Colorado","2015","15.7%","",
"08","Colorado","2016","15.8%","",
"08","Colorado","2017","14.8%","",
"08","Colorado","2018","14.7%","",
"08","Colorado","2019","13.7%","",
"08","Colorado","2020","12.5%","",
"08","Colorado","2021","12.1%","",
"09","Connecticut","2011","17.6%","",
"09","Connecticut","2012","16.7%","",
"09","Connecticut","2013","15.9%","",
"09","Connecticut","2014","16.0%","",
"09","Connecticut","2015","13.8%","",
"09","Connecticut","2016","13.6%","",
"09","Connecticut","2017","13.3%","",
"09","Connecticut","2018","12.6%","",
"09","Connecticut","2019","12.4%","",
"09","Connecticut","2020","12.3%","",
"09","Connecticut","2021","11.3%","",
"10","Delaware","2011","22.5%","",
"10","Delaware","2012","20.4%","",
"10","Delaware","2013","20.1%","",
"10","Delaware","2014","20.6%","",
"10","Delaware","2015","17.7%","",
"10","Delaware","2016","18.0%","",
"10","Delaware","2017","17.9%","",
"10","Delaware","2018","17.2%","",
"10","Delaware","2019","16.6%","",
"10","Delaware","2020","15.8%","",
"10","Delaware","2021","14.1%","",
"11","District of Columbia","2011","20.6%","",
"11","District of Columbia","2012","19.5%","",
"11","District of Columbia","2013","18.7%","",
"11","District of Columbia","2014","16.4%","",
"11","District of Columbia","2015","16.0%","",
"11","District of Columbia","2016","14.8%","",
"11","District of Columbia","2017","14.5%","",
"11","District of Columbia","2018","14.0%","",
"11","District of Columbia","2019","12.9%","",
"11","District of Columbia","2020","11.6%","",
"11","District of Columbia","2021","9.8%","",
"12","Florida","2011","20.0%","",
"12","Florida","2012","18.4%","",
"12","Florida","2013","17.5%","",
"12","Florida","2014","18.7%","",
"12","Florida","2015","16.4%","",
"12","Florida","2016","16.1%","",
"12","Florida","2017","16.7%","",
"12","Florida","2018","15.0%","",
"12","Florida","2019","15.3%","",
"12","Florida","2020","15.3%","",
"12","Florida","2021","Data Not Collected","",
"13","Georgia","2011","21.0%","",
"13","Georgia","2012","20.3%","",
"13","Georgia","2013","18.8%","",
"13","Georgia","2014","17.4%","",
"13","Georgia","2015","17.6%","",
"13","Georgia","2016","17.9%","",
"13","Georgia","2017","17.6%","",
"13","Georgia","2018","16.3%","",
"13","Georgia","2019","16.5%","",
"13","Georgia","2020","15.9%","",
"13","Georgia","2021","15.2%","",
"15","Hawaii","2011","17.3%","",
"15","Hawaii","2012","15.1%","",
"15","Hawaii","2013","13.9%","",
"15","Hawaii","2014","14.6%","",
"15","Hawaii","2015","14.7%","",
"15","Hawaii","2016","13.6%","",
"15","Hawaii","2017","13.4%","",
"15","Hawaii","2018","14.1%","",
"15","Hawaii","2019","12.8%","",
"15","Hawaii","2020","12.1%","",
"15","Hawaii","2021","10.4%","",
"16","Idaho","2011","17.3%","",
"16","Idaho","2012","16.7%","",
"16","Idaho","2013","17.5%","",
"16","Idaho","2014","16.3%","",
"16","Idaho","2015","14.0%","",
"16","Idaho","2016","14.9%","",
"16","Idaho","2017","14.6%","",
"16","Idaho","2018","15.1%","",
"16","Idaho","2019","15.8%","",
"16","Idaho","2020","14.1%","",
"16","Idaho","2021","13.7%","",
"17","Illinois","2011","21.0%","",
"17","Illinois","2012","18.8%","",
"17","Illinois","2013","18.3%","",
"17","Illinois","2014","16.6%","",
"17","Illinois","2015","15.2%","",
"17","Illinois","2016","16.0%","",
"17","Illinois","2017","15.6%","",
"17","Illinois","2018","15.8%","",
"17","Illinois","2019","14.6%","",
"17","Illinois","2020","12.8%","",
"17","Illinois","2021","12.3%","",
"18","Indiana","2011","25.9%","",
"18","Indiana","2012","24.3%","",
"18","Indiana","2013","22.4%","",
"18","Indiana","2014","23.4%","",
"18","Indiana","2015","20.8%","",
"18","Indiana","2016","21.4%","",
"18","Indiana","2017","22.3%","",
"18","Indiana","2018","21.5%","",
"18","Indiana","2019","19.6%","",
"18","Indiana","2020","19.8%","",
"18","Indiana","2021","17.6%","",
"19","Iowa","2011","21.2%","",
"19","Iowa","2012","18.6%","",
"19","Iowa","2013","20.1%","",
"19","Iowa","2014","19.1%","",
"19","Iowa","2015","18.8%","",
"19","Iowa","2016","17.3%","",
"19","Iowa","2017","17.6%","",
"19","Iowa","2018","17.3%","",
"19","Iowa","2019","17.0%","",
"19","Iowa","2020","16.5%","",
"19","Iowa","2021","15.1%","",
"20","Kansas","2011","22.3%","",
"20","Kansas","2012","19.8%","",
"20","Kansas","2013","20.4%","",
"20","Kansas","2014","18.4%","",
"20","Kansas","2015","18.1%","",
"20","Kansas","2016","17.5%","",
"20","Kansas","2017","17.8%","",
"20","Kansas","2018","17.7%","",
"20","Kansas","2019","16.7%","",
"20","Kansas","2020","17.0%","",
"20","Kansas","2021","16.1%","",
"21","Kentucky","2011","29.5%","",
"21","Kentucky","2012","29.1%","",
"21","Kentucky","2013","27.2%","",
"21","Kentucky","2014","26.8%","",
"21","Kentucky","2015","26.6%","",
"21","Kentucky","2016","25.2%","",
"21","Kentucky","2017","25.2%","",
"21","Kentucky","2018","24.2%","",
"21","Kentucky","2019","24.2%","",
"21","Kentucky","2020","21.8%","",
"21","Kentucky","2021","20.1%","",
"22","Louisiana","2011","25.9%","",
"22","Louisiana","2012","25.0%","",
"22","Louisiana","2013","23.7%","",
"22","Louisiana","2014","24.3%","",
"22","Louisiana","2015","22.0%","",
"22","Louisiana","2016","23.2%","",
"22","Louisiana","2017","23.6%","",
"22","Louisiana","2018","20.8%","",
"22","Louisiana","2019","22.5%","",
"22","Louisiana","2020","18.7%","",
"22","Louisiana","2021","19.9%","",
"23","Maine","2011","24.5%","",
"23","Maine","2012","21.8%","",
"23","Maine","2013","21.9%","",
"23","Maine","2014","21.2%","",
"23","Maine","2015","21.1%","",
"23","Maine","2016","21.2%","",
"23","Maine","2017","18.6%","",
"23","Maine","2018","19.2%","",
"23","Maine","2019","19.0%","",
"23","Maine","2020","17.9%","",
"23","Maine","2021","16.6%","",
"24","Maryland","2011","19.2%","",
"24","Maryland","2012","16.3%","",
"24","Maryland","2013","16.6%","",
"24","Maryland","2014","14.6%","",
"24","Maryland","2015","15.1%","",
"24","Maryland","2016","13.8%","",
"24","Maryland","2017","14.0%","",
"24","Maryland","2018","12.7%","",
"24","Maryland","2019","12.9%","",
"24","Maryland","2020","11.1%","",
"24","Maryland","2021","10.1%","",
"25","Massachusetts","2011","18.7%","",
"25","Massachusetts","2012","16.8%","",
"25","Massachusetts","2013","16.9%","",
"25","Massachusetts","2014","14.9%","",
"25","Massachusetts","2015","14.2%","",
"25","Massachusetts","2016","13.7%","",
"25","Massachusetts","2017","13.8%","",
"25","Massachusetts","2018","13.7%","",
"25","Massachusetts","2019","12.2%","",
"25","Massachusetts","2020","11.3%","",
"25","Massachusetts","2021","10.8%","",
"26","Michigan","2011","23.7%","",
"26","Michigan","2012","24.0%","",
"26","Michigan","2013","22.1%","",
"26","Michigan","2014","22.0%","",
"26","Michigan","2015","21.3%","",
"26","Michigan","2016","21.1%","",
"26","Michigan","2017","19.8%","",
"26","Michigan","2018","19.8%","",
"26","Michigan","2019","19.3%","",
"26","Michigan","2020","18.9%","",
"26","Michigan","2021","17.4%","",
"27","Minnesota","2011","19.4%","",
"27","Minnesota","2012","19.2%","",
"27","Minnesota","2013","18.4%","",
"27","Minnesota","2014","16.6%","",
"27","Minnesota","2015","16.6%","",
"27","Minnesota","2016","15.5%","",
"27","Minnesota","2017","14.8%","",
"27","Minnesota","2018","15.6%","",
"27","Minnesota","2019","14.9%","",
"27","Minnesota","2020","14.2%","",
"27","Minnesota","2021","13.7%","",
"28","Mississippi","2011","26.2%","",
"28","Mississippi","2012","24.2%","",
"28","Mississippi","2013","25.2%","",
"28","Mississippi","2014","23.6%","",
"28","Mississippi","2015","22.9%","",
"28","Mississippi","2016","23.2%","",
"28","Mississippi","2017","22.6%","",
"28","Mississippi","2018","20.8%","",
"28","Mississippi","2019","21.0%","",
"28","Mississippi","2020","20.7%","",
"28","Mississippi","2021","19.9%","",
"29","Missouri","2011","25.5%","",
"29","Missouri","2012","24.4%","",
"29","Missouri","2013","22.6%","",
"29","Missouri","2014","21.1%","",
"29","Missouri","2015","22.9%","",
"29","Missouri","2016","22.7%","",
"29","Missouri","2017","21.4%","",
"29","Missouri","2018","20.1%","",
"29","Missouri","2019","20.3%","",
"29","Missouri","2020","18.2%","",
"29","Missouri","2021","17.7%","",
"30","Montana","2011","22.5%","",
"30","Montana","2012","20.6%","",
"30","Montana","2013","19.7%","",
"30","Montana","2014","21.0%","",
"30","Montana","2015","20.0%","",
"30","Montana","2016","19.4%","",
"30","Montana","2017","18.2%","",
"30","Montana","2018","18.8%","",
"30","Montana","2019","17.5%","",
"30","Montana","2020","17.3%","",
"30","Montana","2021","15.1%","",
"31","Nebraska","2011","20.4%","",
"31","Nebraska","2012","20.2%","",
"31","Nebraska","2013","18.9%","",
"31","Nebraska","2014","17.8%","",
"31","Nebraska","2015","17.5%","",
"31","Nebraska","2016","17.4%","",
"31","Nebraska","2017","15.8%","",
"31","Nebraska","2018","16.4%","",
"31","Nebraska","2019","15.1%","",
"31","Nebraska","2020","14.3%","",
"31","Nebraska","2021","13.7%","",
"32","Nevada","2011","22.8%","",
"32","Nevada","2012","17.9%","",
"32","Nevada","2013","19.3%","",
